Postcode,PostcodeNS,LSOA11,MSOA11,WardCodeONSNSPL,WardNameONSNSPL,ConstituencyCodeONSNSPL,ConstituencyNameONSNSPL,CCG,WardCodeCurrent,WardNameCurrent,ConstituencyCodeCurrent,ConstituencyNameCurrent,Latitude,Longitude,DateOfTermination
BD1 1EL,BD11EL,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793956,-1.752524,199112
BD1 1EP,BD11EP,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793956,-1.752524,198612
BD1 1EQ,BD11EQ,E01033693,E02002221,E05001359,Manningham,E14000589,Bradford West,E38000232,E05001344,Bolton and Undercliffe,E14000587,Bradford East,53.802636,-1.755843,201811
BD1 1ER,BD11ER,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793972,-1.751658,200301
BD1 1ES,BD11ES,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793956,-1.752524,199501
BD1 1ET,BD11ET,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793956,-1.752524,198312
BD1 1EU,BD11EU,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793956,-1.752524,199012
BD1 1EW,BD11EW,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793956,-1.752524,198612
BD1 1EX,BD11EX,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793956,-1.752524,199112
BD1 1EY,BD11EY,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793769,-1.750858,
BD1 1EZ,BD11EZ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793603,-1.75119,
BD1 1FB,BD11FB,E01033693,E02002221,E05001359,Manningham,E14000589,Bradford West,E38000232,E05001344,Bolton and Undercliffe,E14000587,Bradford East,53.802205,-1.755861,200902
BD1 1FD,BD11FD,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.796658,-1.751172,200109
BD1 1FF,BD11FF,E01033693,E02002221,E05001359,Manningham,E14000589,Bradford West,E38000232,E05001344,Bolton and Undercliffe,E14000587,Bradford East,53.802205,-1.755861,200610
BD1 1FG,BD11FG,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794129,-1.753585,200006
BD1 1FH,BD11FH,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.796658,-1.751172,200604
BD1 1FN,BD11FN,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.796658,-1.751172,200512
BD1 1FW,BD11FW,E01033693,E02002221,E05001359,Manningham,E14000589,Bradford West,E38000232,E05001344,Bolton and Undercliffe,E14000587,Bradford East,53.802205,-1.755861,200709
BD1 1HA,BD11HA,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794013,-1.751373,
BD1 1HB,BD11HB,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793051,-1.749493,198612
BD1 1HD,BD11HD,E01010834,E02002226,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792161,-1.754052,199112
BD1 1HE,BD11HE,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792158,-1.752534,199706
BD1 1HH,BD11HH,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793153,-1.751086,200404
BD1 1HJ,BD11HJ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793533,-1.752101,
BD1 1HL,BD11HL,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793057,-1.752529,199112
BD1 1HN,BD11HN,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793605,-1.752313,200112
BD1 1HP,BD11HP,E01033691,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.79306,-1.754047,198312
BD1 1HQ,BD11HQ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793057,-1.752529,199112
BD1 1HR,BD11HR,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792158,-1.752534,198312
BD1 1HS,BD11HS,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792158,-1.752534,198312
BD1 1HT,BD11HT,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792158,-1.752534,198612
BD1 1HU,BD11HU,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792158,-1.752534,198312
BD1 1HW,BD11HW,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793605,-1.752313,200702
BD1 1HX,BD11HX,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792849,-1.751756,
BD1 1HY,BD11HY,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792313,-1.753292,
BD1 1HZ,BD11HZ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792717,-1.753077,
BD1 1JA,BD11JA,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792574,-1.749359,
BD1 1JB,BD11JB,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793191,-1.752118,
BD1 1JD,BD11JD,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793146,-1.752209,
BD1 1JE,BD11JE,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.791707,-1.751459,
BD1 1JF,BD11JF,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.7931,-1.751603,
BD1 1JG,BD11JG,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793057,-1.752529,199512
BD1 1JJ,BD11JJ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793959,-1.754042,199112
BD1 1JL,BD11JL,E01033693,E02002221,E05001359,Manningham,E14000589,Bradford West,E38000232,E05001344,Bolton and Undercliffe,E14000587,Bradford East,53.802228,-1.75588,
BD1 1JN,BD11JN,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792723,-1.751681,
BD1 1JP,BD11JP,E01033693,E02002221,E05001359,Manningham,E14000589,Bradford West,E38000232,E05001344,Bolton and Undercliffe,E14000587,Bradford East,53.802228,-1.75588,
BD1 1JQ,BD11JQ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792158,-1.752534,199112
BD1 1JR,BD11JR,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792789,-1.750545,
BD1 1JT,BD11JT,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792524,-1.751014,
BD1 1JU,BD11JU,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.791967,-1.751093,
BD1 1JW,BD11JW,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792158,-1.752534,198112
BD1 1JX,BD11JX,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792217,-1.7505,
BD1 1JY,BD11JY,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.79119,-1.749352,200006
BD1 1JZ,BD11JZ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792155,-1.751016,198112
BD1 1LA,BD11LA,E01010834,E02002226,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.791781,-1.754179,
BD1 1LB,BD11LB,E01010834,E02002226,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.791641,-1.75451,
BD1 1LD,BD11LD,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794145,-1.752613,199812
BD1 1LE,BD11LE,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794145,-1.752613,201202
BD1 1LF,BD11LF,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794145,-1.752613,200204
BD1 1LH,BD11LH,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793997,-1.752436,
BD1 1LJ,BD11LJ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793956,-1.752524,199501
BD1 1LL,BD11LL,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793956,-1.752524,199405
BD1 1LN,BD11LN,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794161,-1.751839,201605
BD1 1LP,BD11LP,E01033691,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.79306,-1.754047,199405
BD1 1LQ,BD11LQ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794037,-1.752538,200006
BD1 1LS,BD11LS,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793956,-1.752524,199507
BD1 1LT,BD11LT,E01033691,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.79306,-1.754047,199606
BD1 1LU,BD11LU,E01033691,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.79306,-1.754047,199512
BD1 1LW,BD11LW,E01033693,E02002221,E05001359,Manningham,E14000589,Bradford West,E38000232,E05001344,Bolton and Undercliffe,E14000587,Bradford East,53.802651,-1.755847,201804
BD1 1LX,BD11LX,E01033693,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793839,-1.747955,200011
BD1 1LZ,BD11LZ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793057,-1.752529,198412
BD1 1NA,BD11NA,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793371,-1.752421,200801
BD1 1ND,BD11ND,E01033691,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.79306,-1.754047,198812
BD1 1NE,BD11NE,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793399,-1.752527,
BD1 1NF,BD11NF,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793355,-1.753149,
BD1 1NG,BD11NG,E01033691,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.79306,-1.754047,199012
BD1 1NH,BD11NH,E01033691,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793097,-1.754426,200203
BD1 1NJ,BD11NJ,E01010834,E02002226,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.791263,-1.754057,198512
BD1 1NL,BD11NL,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794129,-1.753585,199812
BD1 1NN,BD11NN,E01010834,E02002226,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.790465,-1.755124,
BD1 1NP,BD11NP,E01010834,E02002226,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792165,-1.75557,199112
BD1 1NQ,BD11NQ,E01010834,E02002226,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.790665,-1.75611,
BD1 1NR,BD11NR,E01033693,E02002221,E05001359,Manningham,E14000589,Bradford West,E38000232,E05001344,Bolton and Undercliffe,E14000587,Bradford East,53.802228,-1.75588,
BD1 1NS,BD11NS,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.79454,-1.75249,
BD1 1NT,BD11NT,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794629,-1.752201,
BD1 1NU,BD11NU,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793956,-1.752524,199112
BD1 1NW,BD11NW,E01010834,E02002226,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792165,-1.75557,199112
BD1 1NX,BD11NX,E01010834,E02002226,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792165,-1.75557,199501
BD1 1PA,BD11PA,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794629,-1.751958,199706
BD1 1PB,BD11PB,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793959,-1.754042,199501
BD1 1PE,BD11PE,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793956,-1.752524,198112
BD1 1PG,BD11PG,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794629,-1.751958,200011
BD1 1PH,BD11PH,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794629,-1.751958,
BD1 1PJ,BD11PJ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794666,-1.752671,
BD1 1PL,BD11PL,E01033693,E02002221,E05001359,Manningham,E14000589,Bradford West,E38000232,E05001344,Bolton and Undercliffe,E14000587,Bradford East,53.802636,-1.755843,201802
BD1 1PN,BD11PN,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793959,-1.754042,199501
BD1 1PP,BD11PP,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794379,-1.75287,202105
BD1 1PR,BD11PR,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794163,-1.752735,
BD1 1PS,BD11PS,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793956,-1.752524,199112
BD1 1PT,BD11PT,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794574,-1.753085,
BD1 1PU,BD11PU,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793939,-1.752903,
BD1 1PX,BD11PX,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793057,-1.752529,199012
BD1 1PZ,BD11PZ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794364,-1.754525,
BD1 1QA,BD11QA,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.79473,-1.753202,
BD1 1QB,BD11QB,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794896,-1.752446,
BD1 1QD,BD11QD,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794762,-1.752477,
BD1 1QE,BD11QE,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794881,-1.752442,199812
BD1 1QF,BD11QF,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794855,-1.752518,198112
BD1 1QH,BD11QH,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794855,-1.752518,199512
BD1 1QJ,BD11QJ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794855,-1.752518,199112
BD1 1QL,BD11QL,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.795079,-1.752532,
BD1 1QN,BD11QN,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.795009,-1.753049,
BD1 1QP,BD11QP,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.795207,-1.754933,
BD1 1QQ,BD11QQ,E01033693,E02002221,E05001359,Manningham,E14000589,Bradford West,E38000232,E05001344,Bolton and Undercliffe,E14000587,Bradford East,53.802636,-1.755843,201811
BD1 1QR,BD11QR,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794771,-1.755555,
BD1 1QS,BD11QS,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794256,-1.754101,
BD1 1QT,BD11QT,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.79464,-1.754512,
BD1 1QU,BD11QU,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.795022,-1.755356,
BD1 1QX,BD11QX,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794742,-1.754735,
BD1 1QY,BD11QY,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794824,-1.755069,
BD1 1QZ,BD11QZ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794855,-1.752518,198812
BD1 1RA,BD11RA,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794647,-1.75354,
BD1 1RB,BD11RB,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794206,-1.753543,
BD1 1RD,BD11RD,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794344,-1.753402,
BD1 1RE,BD11RE,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794394,-1.752874,
BD1 1RF,BD11RF,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793959,-1.754042,199112
BD1 1RH,BD11RH,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793959,-1.754042,198112
BD1 1RJ,BD11RJ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793859,-1.753647,
BD1 1RL,BD11RL,E01033691,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.79306,-1.754047,198212
BD1 1RN,BD11RN,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793976,-1.753419,201303
BD1 1RP,BD11RP,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793959,-1.754042,198112
BD1 1RQ,BD11RQ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793959,-1.754042,198112
